"id","name","bn_name","code","hrms_code","city","phone","email","routing_no","address","recommended_manpower","description","parent_id","type","created_at","updated_at"
174,"Badurtola Bazar Branch, Jhalakathi","বাদুরতলা বাজার শাখা, ঝালকাঠি","0412","BR64",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:46:32"
175,"Basanda Branch, Jhalakathi","বাসন্ডা শাখা, ঝালকাঠি","0411","BR65",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:46:40"
176,"Binoykati Branch, Jhalakathi","বিনয়কাঠী শাখা, ঝালকাঠি","0402","BR66",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:46:48"
177,"Chitki Bazar Branch, Jhalakathi","ছিটকী বাজার শাখা, ঝালকাঠি","0414","BR67",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:46:55"
178,"Galua Bazar Branch, Jhalakathi","গালুয়া বাজার শাখা, ঝালকাঠি","0403","BR68",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:47:05"
179,"Jhalakathi Branch, Jhalakathi","ঝালকাঠি শাখা, ঝালকাঠি","0401","BR69",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:47:15"
180,"Kaikhali Branch, Jhalakathi","কৈখালী শাখা, ঝালকাঠি","0410","BR70",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:47:23"
181,"Kathalia Branch, Jhalakathi","কাঠালিয়া শাখা, ঝালকাঠি","0407","BR71",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:47:32"
182,"Nabagram Branch, Jhalakathi","নবগ্রাম শাখা, ঝালকাঠি","0413","BR72",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:47:45"
183,"Nalchity Branch, Jhalakathi","নলছিটি শাখা, ঝালকাঠি","0404","BR73",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:47:59"
184,"Nizamia Bazar Branch, Jhalakathi","নিজামিয়া বাজার শাখা, ঝালকাঠি","0417","BR74",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:48:06"
185,"Rajapur Branch, Jhalakathi","রাজাপুর শাখা, ঝালকাঠি","0406","BR75",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:48:15"
186,"Ramchandrapur Branch, Jhalakathi","রামচন্দ্রপুর শাখা, ঝালকাঠি","0416","BR76",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:48:25"
187,"Taltala Bazar Branch, Jhalakathi","তালতলা বাজার শাখা, ঝালকাঠি","0405","BR77",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:48:32"
188,"Amkhola Branch, Patuakhali","আমখোলা শাখা, পটুয়াখালী","0724","BR78",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:50:01"
189,"Awliapur Branch, Patuakhali","আউলিয়াপুর শাখা, পটুয়াখালী","0710","BR79",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:50:44"
190,"Baherchar Bandar Branch, Patuakhali","বাহেরচর বন্দর শাখা, পটুয়াখালী","0708","BR80",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:50:53"
191,"Bauphal Branch, Patuakhali","বাউফল শাখা, পটুয়াখালী","0705","BR81",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:51:03"
192,"Chandpura Bandar Branch, Patuakhali","চাঁদপুরা বন্দর শাখা, পটুয়াখালী","0720","BR82",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:51:30"
193,"Charkajal Branch, Patuakhali","চরকাজল শাখা, পটুয়াখালী","0704","BR83",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:51:41"
194,"Chiknikandi Bazar Branch, Patuakhali","চিকনিকান্দি বাজার শাখা, পটুয়াখালী","0716","BR84",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:51:50"
195,"Choto Bighai Branch, Patuakhali","ছোট বিঘাই শাখা, পটুয়াখালী","0718","BR85",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:51:59"
196,"Dashmina Branch, Patuakhali","দশমিনা শাখা, পটুয়াখালী","0709","BR86",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:52:38"
